uterine corpus endometrioid carcinoma	PER2	547	54	9.87202925045704	8.48373222360106	4.25202460338995e-27	2.17703659693566e-24	Enriched
uterine corpus endometrioid carcinoma	NPAS2	547	45	8.22669104204753	7.80748882316287	8.5580164110062e-22	2.19085220121759e-19	Enriched
uterine corpus endometrioid carcinoma	ARNTL	547	36	6.58135283363803	10.4867349888894	4.34875746100404e-21	7.42187940011355e-19	Enriched
uterine corpus endometrioid carcinoma	CLOCK	547	39	7.12979890310786	8.58542119453551	2.68887716344185e-20	3.44176276920557e-18	Enriched
uterine corpus endometrioid carcinoma	PER1	547	44	8.04387568555759	6.94118446331678	9.24192982061723e-20	9.46373613631204e-18	Enriched
uterine corpus endometrioid carcinoma	RORA	547	35	6.39853747714808	9.08388327867275	5.14775056131235e-19	4.39274714565321e-17	Enriched
uterine corpus endometrioid carcinoma	PER3	547	43	7.86106032906764	6.55577942509453	1.31782797008468e-18	9.63897029547654e-17	Enriched
uterine corpus endometrioid carcinoma	RORC	547	36	6.58135283363803	7.96953338740365	4.70265994599492e-18	3.00970236543675e-16	Enriched
uterine corpus endometrioid carcinoma	CRY2	547	28	5.11882998171846	8.54549854328724	4.92344271344595e-15	2.80089185476036e-13	Enriched
uterine corpus endometrioid carcinoma	CSNK1D	547	26	4.75319926873857	8.30266863819616	7.56310080290484e-14	3.87230761108728e-12	Enriched
uterine corpus endometrioid carcinoma	TIMELESS	547	39	7.12979890310786	4.89753587184705	1.3092295080954e-13	6.09386825586224e-12	Enriched
uterine corpus endometrioid carcinoma	CRY1	547	27	4.93601462522852	7.39759706187621	2.34305941796142e-13	9.99705351663537e-12	Enriched
uterine corpus endometrioid carcinoma	NR1D1	547	24	4.38756855575868	8.4878674286198	4.53565840726413e-13	1.78635161886095e-11	Enriched
uterine corpus endometrioid carcinoma	RORB	547	32	5.85009140767824	5.71567007500281	5.53911572996133e-13	2.02573375267157e-11	Enriched
uterine corpus endometrioid carcinoma	CSNK1E	547	27	4.93601462522852	6.89883746050178	8.86415284189785e-13	3.02563083670113e-11	Enriched
uterine corpus endometrioid carcinoma	NR1D2	547	20	3.6563071297989	5.9169834430125	6.23830769186455e-09	1.99625846139666e-07	Enriched
