Cancer_Type	Gene1	Gene2	N	CLOCK16_Mutated_Patients	Mean_CLOCK16_Genes_Per_Patient	Observed_CoMutation	Permutation_Expected	Observed_Expected_Ratio	Permutation_SD	Permutation_Z	Permutation_P	Direction	FDR_within_cancer	FDR_global	Robust_Significant
bladder urothelial carcinoma	ARNTL	CLOCK	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5667226018527451	-0.5881772356415482	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	CRY1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5604567790473393	-0.5947529689977721	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	CRY2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5642483740541592	-0.5907563914421462	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	CSNK1D	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.566550313675487	-0.5883561005744364	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	CSNK1E	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5695991172003618	1.1704137989949874	0.2863713628637136	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	ARNTL	NPAS2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5553202572019194	-0.6002542298977046	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5721621509263745	-0.5825854310594315	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	NR1D2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5652806331543846	-0.5896776110535813	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5681044219713717	-0.586746591721004	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5745525224556115	-0.5801616393722924	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	PER3	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5659596019391337	1.1779403766319763	0.28347165283471654	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	ARNTL	RORA	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5708356552761341	1.1678784611731647	0.29177082291770823	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	ARNTL	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5739938561471625	-0.580726308763612	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.557206243575741	-0.598222538201016	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	ARNTL	TIMELESS	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5595346798061677	-0.5957331071039345	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	CRY1	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5703223358388444	1.1689296118590842	0.29027097290270976	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	CRY2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5572417893887572	1.196368756546307	0.2782721727827217	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	CSNK1D	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.559197881100262	-0.59609191057283	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	CSNK1E	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5674257195393239	1.1748968080049553	0.28977102289771023	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	NPAS2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5698791329945521	1.1698387045048022	0.2823717628237176	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5627924249058023	-0.592284683627583	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	NR1D2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5607729367833855	1.1888353073718063	0.28077192280771923	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5637146152236445	-0.5913157550493681	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	PER2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5643607359694952	1.18127754851943	0.2916708329167083	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	PER3	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5643766845859337	1.1812441670154747	0.28047195280471954	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	RORA	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5730707469484905	1.1633234992652466	0.28447155284471554	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CLOCK	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5661357089639342	-0.5887869782023738	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5624911373772592	-0.5926019294945244	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CLOCK	TIMELESS	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5733008175318942	1.162856647469508	0.286971302869713	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY1	CRY2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5612657587321647	-0.5938957225651808	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	CSNK1D	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5675177245133086	-0.5873531679018362	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	CSNK1E	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5668112273912275	-0.5880852693541624	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	NPAS2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5748457225730014	1.159731455742031	0.29087091290870914	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY1	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5617135499622748	-0.5934222760973459	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	NR1D2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5709994343564655	-0.5837717400000766	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5647137683499637	-0.5902695347898096	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.560443930951147	-0.5947666036237076	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	PER3	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5731220174488924	-0.5816097151826104	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	RORA	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5692310975379336	1.1711704956917608	0.29447055294470553	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY1	RORB	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5584857210619293	1.1937040492262494	0.28947105289471053	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY1	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5700207473112154	-0.5847740365691333	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY1	TIMELESS	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5794626283840654	-0.5752456103388284	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	CSNK1D	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5682517408720368	-0.5865944780420759	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	CSNK1E	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5652793239376505	-0.5896789767780355	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	NPAS2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5690188206393741	-0.5858037049790121	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5622195292587301	-0.5928882153432549	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	NR1D2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5615652549379772	1.1871579674926604	0.28157184281571845	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY2	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5658024860720609	-0.589133737547558	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5621737755671226	-0.592936468793952	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	PER3	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.568548049586373	1.1725775282347313	0.29387061293870614	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY2	RORA	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5541211194508853	-0.6015532013355764	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5724126794783312	-0.5823304501869473	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CRY2	RORC	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5754259478874325	1.1585620514928239	0.2963703629637036	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CRY2	TIMELESS	116	116	1.2413793103448276	2	0.33333333333333337	5.999999999999999	0.5706507813290219	2.920642047987859	0.0435956404359564	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CSNK1D	CSNK1E	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5690712909762901	-0.585749691855781	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	NPAS2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5611739940741752	-0.5939928379668887	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.57316515231579	-0.5815659448006368	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	NR1D2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5707262766408121	-0.58405114146009	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5642466016049563	-0.5907582471656757	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5650747923523887	-0.5898924139682061	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	PER3	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5673868457968323	-0.5874886522355016	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	RORA	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5738364652310647	-0.5808855894145926	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	RORB	116	116	1.2413793103448276	2	0.33333333333333337	5.999999999999999	0.5638837703735133	2.9556918539483346	0.04129587041295871	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CSNK1D	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5706652310072763	-0.5841136190213824	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1D	TIMELESS	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5591714471168275	-0.5961200899152673	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	NPAS2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5633804218731558	-0.5916665194453328	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5626533727631856	-0.5924310587464114	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	NR1D2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5710555581071289	-0.5837143664939177	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5731771220149319	-0.5815537999171043	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	PER2	116	116	1.2413793103448276	2	0.33333333333333337	5.999999999999999	0.5648375820972034	2.9507007314889475	0.0418958104189581	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	CSNK1E	PER3	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5721053840482938	-0.5826432378150724	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	RORA	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5655350501863691	-0.5894123330171758	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5668824618671469	-0.5880113705324906	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5606084357034045	-0.5945920755100566	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	CSNK1E	TIMELESS	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5630235692703773	-0.5920415263703797	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NPAS2	NR1D1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5716019881729667	-0.5831563574486146	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NPAS2	NR1D2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5699947362914328	1.1696014440487856	0.2813718628137186	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NPAS2	PER1	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5670252126309515	1.175726672846498	0.29257074292570745	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NPAS2	PER2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5625856825986835	1.185004679797777	0.28217178282171784	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NPAS2	PER3	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5686621559984157	1.1723422415831095	0.2872712728727127	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NPAS2	RORA	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5727210847734648	1.1640337406651637	0.28657134286571345	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NPAS2	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5682064113089408	-0.586641274542212	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NPAS2	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5708119941217628	-0.5839634358878387	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NPAS2	TIMELESS	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5587707781176892	1.1930950807993976	0.2830716928307169	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NR1D1	NR1D2	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5606604980015999	1.1890737247280871	0.2896710328967103	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NR1D1	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5746105879052119	-0.5801030129788005	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5587449593445648	-0.5965751059738412	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	PER3	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5684088483318026	-0.5864323440981228	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	RORA	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5742333797311332	-0.5804840768563581	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5737783214414915	-0.580944453418712	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5523162276463839	-0.6035189926498908	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D1	TIMELESS	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5613573480477659	1.187597648779579	0.28477152284771523	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NR1D2	PER1	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5638621764717027	-0.5911610092720266	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D2	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.560091394539341	-0.5951409655338312	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D2	PER3	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5677353189112282	1.1742561092467587	0.29327067293270676	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NR1D2	RORA	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5650423765424404	1.179852510790566	0.290970902909709	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	NR1D2	RORB	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5723694616941648	-0.5823744200934395	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D2	RORC	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5726076998764474	-0.5821321183862133	1.0	Depleted	1.0	1.0	False
bladder urothelial carcinoma	NR1D2	TIMELESS	116	116	1.2413793103448276	1	0.33333333333333337	2.9999999999999996	0.5661773977160943	1.1774872493249227	0.2833716628337166	Enriched	0.9676870150822755	1.0	False
bladder urothelial carcinoma	PER1	PER2	116	116	1.2413793103448276	0	0.33333333333333337	0.0	0.5726003380323064	-0.5821396027791492	1.0	Depleted	1.0	1.0	False
