Cancer_Type	Gene	Primary_Patients	Mutated_Patients	Prevalence_Percent	Odds_Ratio	P_value	FDR	Direction
colon adenocarcinoma	PER2	461	12	2.60303687635575	1.56604710020939	0.139879980343088	0.411600861699202	Enriched
lung adenocarcinoma	CRY1	520	8	1.53846153846154	1.75268599400646	0.148226532802622	0.433668484542529	Enriched
bladder urothelial carcinoma	CSNK1D	412	6	1.45631067961165	1.86587167136677	0.150185444959527	0.436903112609534	Enriched
prostate adenocarcinoma	PER2	498	4	0.803212851405622	0.451145526524534	0.153063758460267	0.442760702438739	Depleted
esophageal carcinoma	NR1D1	185	3	1.62162162162162	2.27072020416057	0.155520055792362	0.447338587447693	Enriched
cervical & endocervical cancer	PER1	308	8	2.5974025974026	1.67674110251628	0.159989843258181	0.457624579598821	Enriched
kidney papillary cell carcinoma	PER2	291	8	2.74914089347079	1.64531636075179	0.166049608559306	0.472318886568694	Enriched
adrenocortical cancer	CSNK1D	92	2	2.17391304347826	2.75533926294815	0.171487347506816	0.485091281345247	Enriched
esophageal carcinoma	CLOCK	185	0	0	0	0.176878393076865	0.485225393126831	Depleted
pheochromocytoma & paraganglioma	RORB	179	0	0	0	0.179116404884709	0.485225393126831	Depleted
rectum adenocarcinoma	RORB	167	0	0	0	0.176925784532979	0.485225393126831	Depleted
thymoma	TIMELESS	124	0	0	0	0.177096751860592	0.485225393126831	Depleted
glioblastoma multiforme	CRY1	594	2	0.336700336700337	0.352227311210769	0.178446945297392	0.485225393126831	Depleted
skin cutaneous melanoma	NR1D1	104	2	1.92307692307692	2.68602915020829	0.178225446029549	0.485225393126831	Enriched
kidney clear cell carcinoma	PER2	536	5	0.932835820895522	0.52561208825478	0.173354020299755	0.485225393126831	Depleted
cervical & endocervical cancer	RORC	308	6	1.94805194805195	1.7116909916951	0.177807813204641	0.485225393126831	Enriched
kidney clear cell carcinoma	RORA	536	2	0.373134328358209	0.345042323352167	0.182595637220278	0.49204719082517	Depleted
sarcoma	ARNTL	261	0	0	0	0.186040166324793	0.495449651831731	Depleted
head & neck squamous cell carcinoma	NR1D1	528	1	0.189393939393939	0.246155466545828	0.186761294538133	0.495449651831731	Depleted
