Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR
colon adenocarcinoma	CSNK1D	461	11	2.386117136659436	0.7402289774970391	3.277837037037037	0.0012043732801898092	Enriched	0.014137038767586298
breast invasive carcinoma	RORB	1101	4	0.36330608537693004	1.4327855035819637	0.2508445493055928	0.0012149017690894475	Depleted	0.014137038767586298
ovarian serous cystadenocarcinoma	CLOCK	592	0	0.0	1.2798720127987202	0.0	0.0013550668265036158	Depleted	0.015417649225996696
breast invasive carcinoma	PER3	1101	6	0.5449591280653951	1.748841129372103	0.3078395774880343	0.001425862412957498	Depleted	0.0158704685963965
stomach adenocarcinoma	RORB	478	15	3.1380753138075312	1.2357884330202669	2.5892008639308854	0.0016015346150940535	Enriched	0.017446504743152243
thyroid carcinoma	TIMELESS	507	1	0.19723865877712032	1.9135435256791593	0.10130250465911651	0.0017293446689108471	Depleted	0.018306235987288505
breast invasive carcinoma	ARNTL	1101	2	0.18165304268846502	1.0640539401601348	0.16920873161019467	0.0017519639909709703	Depleted	0.018306235987288505
stomach adenocarcinoma	CSNK1E	478	12	2.510460251046025	0.8897676717745922	2.8683834048640917	0.002086037355912369	Enriched	0.021361022524542656
colon adenocarcinoma	TIMELESS	461	18	3.9045553145336225	1.7370706671930518	2.298481428278268	0.002153934307574671	Enriched	0.021623811087808465
brain lower grade glioma	PER2	516	1	0.1937984496124031	1.796169494889352	0.10616317116343936	0.002483737624168745	Depleted	0.024455262761046107
ovarian serous cystadenocarcinoma	RORA	592	0	0.0	1.0998900109989	0.0	0.00287435563933254	Depleted	0.027767360138457743
thyroid carcinoma	CLOCK	507	0	0.0	1.2690858615903233	0.0	0.0029619061590478997	Depleted	0.028083258396898604
brain lower grade glioma	PER3	516	1	0.1937984496124031	1.6969336111938076	0.11248509623573497	0.0035146822606837336	Depleted	0.03271849668127403
breast invasive carcinoma	NPAS2	1101	6	0.5449591280653951	1.6118836915297092	0.3344614558152028	0.0036046603627175114	Depleted	0.03295689474484582
colon adenocarcinoma	PER3	461	16	3.470715835140998	1.5396762731938414	2.2992797464707575	0.0038200667158118343	Enriched	0.03431358172799402
glioblastoma multiforme	CSNK1E	594	0	0.0	1.02010201020102	0.0	0.0042993400466178975	Depleted	0.03673689274303263
ovarian serous cystadenocarcinoma	ARNTL	592	0	0.0	1.0298970102989702	0.0	0.004304100536972612	Depleted	0.03673689274303263
ovarian serous cystadenocarcinoma	CSNK1E	592	0	0.0	1.01989801019898	0.0	0.004305104618324136	Depleted	0.03673689274303263
prostate adenocarcinoma	RORC	498	0	0.0	1.2283308568598317	0.0	0.0044782832420532485	Depleted	0.03758821344149612
thyroid carcinoma	RORC	507	0	0.0	1.2294269284156256	0.0	0.004581124444125987	Depleted	0.03783122121600815
skin cutaneous melanoma	NPAS2	104	6	5.769230769230769	1.4586709886547813	4.136054421768708	0.004712806412605873	Enriched	0.03830090290879694
prostate adenocarcinoma	PER3	498	1	0.20080321285140562	1.6939078751857355	0.1167708002400367	0.005273306287942222	Depleted	0.04204300467585921
bladder urothelial carcinoma	NPAS2	412	14	3.3980582524271843	1.4242215892348493	2.4346560388147633	0.005337490827989939	Enriched	0.04204300467585921
ovarian serous cystadenocarcinoma	PER3	592	2	0.33783783783783783	1.6998300169983003	0.1960319042871386	0.006429636083872025	Depleted	0.04987838901427995
brain lower grade glioma	RORA	516	0	0.0	1.0915947206509875	0.0	0.006604866544696558	Depleted	0.05047301001320355
glioblastoma multiforme	TIMELESS	594	3	0.5050505050505051	1.9101910191019102	0.2606638849762139	0.0071373378580989	Depleted	0.05373995563745054
breast invasive carcinoma	CSNK1D	1101	2	0.18165304268846502	0.8849557522123894	0.20382165605095542	0.007478827925867003	Depleted	0.05549507098614356
brain lower grade glioma	NPAS2	516	1	0.1937984496124031	1.5679269623896002	0.1218999631313752	0.007742039802110676	Depleted	0.05662749112400951
ovarian serous cystadenocarcinoma	CRY2	592	0	0.0	0.9099090090990901	0.0	0.00978868503545741	Depleted	0.06952916540202628
thyroid carcinoma	ARNTL	507	0	0.0	1.0212175292484633	0.0	0.009908820671284289	Depleted	0.06952916540202628
brain lower grade glioma	ARNTL	516	0	0.0	1.0221296020641064	0.0	0.009913338035835778	Depleted	0.06952916540202628
kidney clear cell carcinoma	RORB	536	1	0.1865671641791045	1.382121905140698	0.1333691924964701	0.01043438756924441	Depleted	0.071425639382288
colon adenocarcinoma	NR1D2	461	9	1.9522776572668112	0.7402289774970391	2.67	0.010559164938944038	Enriched	0.071425639382288
thyroid carcinoma	RORA	507	0	0.0	1.090620662304184	0.0	0.01065728954626053	Depleted	0.071425639382288
breast invasive carcinoma	NR1D2	1101	2	0.18165304268846502	0.8638853771597135	0.20883730220377728	0.010789458085710588	Depleted	0.071425639382288
breast invasive carcinoma	PER1	1101	8	0.7266121707538601	1.696165191740413	0.4242014399936354	0.010881249749645439	Depleted	0.071425639382288
stomach adenocarcinoma	CRY1	478	10	2.092050209205021	0.8601087493821058	2.462913842224187	0.0119334658304294	Enriched	0.07734094310354243
lung squamous cell carcinoma	NPAS2	506	15	2.964426877470356	1.427580053534252	2.109428038017651	0.012610346530406543	Enriched	0.08070621779460188
kidney clear cell carcinoma	PER3	536	2	0.373134328358209	1.6903649199562494	0.21782330909892048	0.012815315285413124	Depleted	0.0810054497053274
colon adenocarcinoma	CLOCK	461	12	2.6030368763557483	1.1448874851954205	2.3076568619921667	0.013060152268935685	Enriched	0.08154631660603745
glioblastoma multiforme	PER2	594	3	0.5050505050505051	1.7901790179017902	0.27847885886056206	0.01380130793555907	Depleted	0.08513577907236439
ovarian serous cystadenocarcinoma	NR1D2	592	0	0.0	0.83991600839916	0.0	0.014672192055168357	Depleted	0.08744937986533466
kidney clear cell carcinoma	CRY2	536	0	0.0	0.9048423983295217	0.0	0.014733383439770731	Depleted	0.08744937986533466
prostate adenocarcinoma	CRY1	498	0	0.0	0.9608717186726102	0.0	0.014862581920349734	Depleted	0.08744937986533466
ovarian serous cystadenocarcinoma	CSNK1D	592	0	0.0	0.8599140085991401	0.0	0.015127170943979432	Depleted	0.08744937986533466
prostate adenocarcinoma	RORB	498	1	0.20080321285140562	1.3769192669638435	0.14411649754642966	0.015128298801923842	Depleted	0.08744937986533466
thyroid carcinoma	RORB	507	1	0.19723865877712032	1.3781479278207416	0.1414251997611397	0.015201161734403876	Depleted	0.08744937986533466
stomach adenocarcinoma	CLOCK	478	12	2.510460251046025	1.1468116658428078	2.2196980908687287	0.015432999335154806	Enriched	0.08757860216464995
ovarian serous cystadenocarcinoma	RORC	592	1	0.16891891891891891	1.2298770122987701	0.1358865365303399	0.015698369266292166	Depleted	0.08757860216464995
prostate adenocarcinoma	ARNTL	498	0	0.0	1.0203070827142149	0.0	0.015736780076460538	Depleted	0.08757860216464995
thyroid carcinoma	CSNK1E	507	0	0.0	1.011302795954789	0.0	0.01596551956288058	Depleted	0.08789619372252534
breast invasive carcinoma	RORC	1101	5	0.45413260672116257	1.2536873156342183	0.3593280377844568	0.016827308106334888	Depleted	0.09165512500471769
bladder urothelial carcinoma	CSNK1E	412	9	2.1844660194174756	0.9134662606816619	2.4224765868886577	0.017636657497489265	Enriched	0.09450562619846488
cervical & endocervical cancer	PER3	308	11	3.5714285714285716	1.5653864851725814	2.3289625028755463	0.017719804912212166	Enriched	0.09450562619846488
stomach adenocarcinoma	NPAS2	478	14	2.928870292887029	1.4335145823035096	2.07461355529132	0.01800007042675525	Enriched	0.09501068101545039
glioblastoma multiforme	PER3	594	3	0.5050505050505051	1.69016901690169	0.29525726128615626	0.018973430580864252	Depleted	0.09912649446329079
glioblastoma multiforme	RORA	594	1	0.16835016835016836	1.09010901090109	0.15300833887711374	0.021314213117799206	Depleted	0.11023108198296155
brain lower grade glioma	CLOCK	516	1	0.1937984496124031	1.2602957229334126	0.1521290421221619	0.021733261969519812	Depleted	0.11127430128394143
ovarian serous cystadenocarcinoma	NR1D1	592	0	0.0	0.77992200779922	0.0	0.022293070104905915	Depleted	0.11200737861324901
kidney clear cell carcinoma	CLOCK	536	1	0.1865671641791045	1.262802028437904	0.14614761939804252	0.02255021562997573	Depleted	0.11200737861324901
kidney clear cell carcinoma	CSNK1D	536	0	0.0	0.8551257830366908	0.0	0.022568030581490393	Depleted	0.11200737861324901
thyroid carcinoma	CRY2	507	0	0.0	0.9022407297243704	0.0	0.022751498780816205	Depleted	0.11200737861324901
brain lower grade glioma	CRY2	516	0	0.0	0.9030465416294532	0.0	0.023255146070388158	Depleted	0.11235348615336105
breast invasive carcinoma	CRY2	1101	3	0.2724795640326976	0.9270965023177412	0.2919771485345256	0.02326068268018803	Depleted	0.11235348615336105
prostate adenocarcinoma	PER1	498	2	0.40160642570281124	1.654284299157999	0.23971412014680316	0.02570351538241969	Depleted	0.12299252220372786
kidney clear cell carcinoma	NPAS2	536	2	0.373134328358209	1.5611017201948891	0.23616975595791884	0.026031065843517914	Depleted	0.12340653436927011
lung adenocarcinoma	RORB	520	13	2.5	1.2607961878288494	2.0080759135877244	0.026947839943926664	Enriched	0.12658067936963718
glioblastoma multiforme	ARNTL	594	1	0.16835016835016836	1.02010201020102	0.16362464041265748	0.03069587382153271	Depleted	0.14287533996931587
breast invasive carcinoma	CSNK1E	1101	4	0.36330608537693004	1.0324483775811208	0.34952467769240786	0.032127190747479335	Depleted	0.14740509363750715
brain lower grade glioma	RORC	516	1	0.1937984496124031	1.220601369455195	0.15713947430736444	0.03224486423320469	Depleted	0.14740509363750715
bladder urothelial carcinoma	CLOCK	412	10	2.4271844660194173	1.1590217071014635	2.1213846024116703	0.0334771021357517	Enriched	0.15148407822877544
kidney clear cell carcinoma	NR1D1	536	0	0.0	0.7755791985681615	0.0	0.03372887679312578	Depleted	0.15148407822877544
thyroid carcinoma	NR1D2	507	0	0.0	0.8328375966686496	0.0	0.0346390313905348	Depleted	0.1541027437239802
