Metric	Value
Primary patients	10593
Cancer types	32
CLOCK16 mutated patients	1165
MC3-derived CLOCK16 mutated patients	1165
CLOCK16 status discordance	0
Primary MC3 mutation rows	2558837
Primary samples with MC3 mutations	8741
