PolyPhen_Raw	PolyPhen_Raw	N
possibly_damaging(0.7)	possibly_damaging(0.7)	2
benign(0.176)	benign(0.176)	2
benign(0.111)	benign(0.111)	2
benign(0.121)	benign(0.121)	2
probably_damaging(0.91)	probably_damaging(0.91)	2
probably_damaging(0.928)	probably_damaging(0.928)	2
probably_damaging(0.941)	probably_damaging(0.941)	2
benign(0.049)	benign(0.049)	2
benign(0.013)	benign(0.013)	2
benign(0.024)	benign(0.024)	2
possibly_damaging(0.861)	possibly_damaging(0.861)	2
possibly_damaging(0.906)	possibly_damaging(0.906)	2
possibly_damaging(0.864)	possibly_damaging(0.864)	2
benign(0.057)	benign(0.057)	2
possibly_damaging(0.701)	possibly_damaging(0.701)	2
benign(0.048)	benign(0.048)	2
possibly_damaging(0.611)	possibly_damaging(0.611)	2
possibly_damaging(0.693)	possibly_damaging(0.693)	2
possibly_damaging(0.671)	possibly_damaging(0.671)	2
benign(0.332)	benign(0.332)	2
possibly_damaging(0.791)	possibly_damaging(0.791)	2
possibly_damaging(0.781)	possibly_damaging(0.781)	2
probably_damaging(0.991)	probably_damaging(0.991)	2
probably_damaging(0.926)	probably_damaging(0.926)	2
benign(0.108)	benign(0.108)	2
probably_damaging(0.945)	probably_damaging(0.945)	2
possibly_damaging(0.896)	possibly_damaging(0.896)	2
possibly_damaging(0.835)	possibly_damaging(0.835)	2
possibly_damaging(0.796)	possibly_damaging(0.796)	2
benign(0.05)	benign(0.05)	2
benign(0.401)	benign(0.401)	2
possibly_damaging(0.822)	possibly_damaging(0.822)	2
possibly_damaging(0.9)	possibly_damaging(0.9)	2
benign(0.068)	benign(0.068)	2
benign(0.195)	benign(0.195)	2
benign(0.016)	benign(0.016)	2
probably_damaging(0.958)	probably_damaging(0.958)	2
benign(0.3)	benign(0.3)	2
probably_damaging(0.931)	probably_damaging(0.931)	2
benign(0.051)	benign(0.051)	2
benign(0.116)	benign(0.116)	2
benign(0.076)	benign(0.076)	2
possibly_damaging(0.691)	possibly_damaging(0.691)	2
possibly_damaging(0.775)	possibly_damaging(0.775)	2
benign(0.109)	benign(0.109)	2
benign(0.216)	benign(0.216)	2
benign(0.418)	benign(0.418)	2
possibly_damaging(0.548)	possibly_damaging(0.548)	2
benign(0.112)	benign(0.112)	2
benign(0.122)	benign(0.122)	2
probably_damaging(0.932)	probably_damaging(0.932)	2
possibly_damaging(0.815)	possibly_damaging(0.815)	2
benign(0.381)	benign(0.381)	2
benign(0.367)	benign(0.367)	2
probably_damaging(0.913)	probably_damaging(0.913)	2
possibly_damaging(0.649)	possibly_damaging(0.649)	2
probably_damaging(0.952)	probably_damaging(0.952)	2
possibly_damaging(0.696)	possibly_damaging(0.696)	2
possibly_damaging(0.902)	possibly_damaging(0.902)	2
possibly_damaging(0.874)	possibly_damaging(0.874)	2
benign(0.128)	benign(0.128)	2
possibly_damaging(0.811)	possibly_damaging(0.811)	2
possibly_damaging(0.817)	possibly_damaging(0.817)	2
benign(0.133)	benign(0.133)	2
benign(0.046)	benign(0.046)	2
benign(0.09)	benign(0.09)	2
possibly_damaging(0.867)	possibly_damaging(0.867)	2
benign(0.19)	benign(0.19)	2
possibly_damaging(0.898)	possibly_damaging(0.898)	2
benign(0.439)	benign(0.439)	2
benign(0.139)	benign(0.139)	2
benign(0.417)	benign(0.417)	2
benign(0.095)	benign(0.095)	2
probably_damaging(0.962)	probably_damaging(0.962)	2
probably_damaging(0.95)	probably_damaging(0.95)	2
benign(0.119)	benign(0.119)	2
benign(0.232)	benign(0.232)	2
benign(0.424)	benign(0.424)	2
possibly_damaging(0.808)	possibly_damaging(0.808)	2
benign(0.019)	benign(0.019)	1
possibly_damaging(0.886)	possibly_damaging(0.886)	1
possibly_damaging(0.714)	possibly_damaging(0.714)	1
benign(0.227)	benign(0.227)	1
possibly_damaging(0.748)	possibly_damaging(0.748)	1
benign(0.058)	benign(0.058)	1
benign(0.446)	benign(0.446)	1
possibly_damaging(0.579)	possibly_damaging(0.579)	1
possibly_damaging(0.865)	possibly_damaging(0.865)	1
benign(0.343)	benign(0.343)	1
possibly_damaging(0.828)	possibly_damaging(0.828)	1
benign(0.322)	benign(0.322)	1
benign(0.262)	benign(0.262)	1
probably_damaging(0.93)	probably_damaging(0.93)	1
benign(0.235)	benign(0.235)	1
possibly_damaging(0.882)	possibly_damaging(0.882)	1
benign(0.266)	benign(0.266)	1
benign(0.159)	benign(0.159)	1
possibly_damaging(0.715)	possibly_damaging(0.715)	1
benign(0.199)	benign(0.199)	1
possibly_damaging(0.736)	possibly_damaging(0.736)	1
possibly_damaging(0.827)	possibly_damaging(0.827)	1
probably_damaging(0.956)	probably_damaging(0.956)	1
possibly_damaging(0.767)	possibly_damaging(0.767)	1
probably_damaging(0.935)	probably_damaging(0.935)	1
possibly_damaging(0.458)	possibly_damaging(0.458)	1
possibly_damaging(0.619)	possibly_damaging(0.619)	1
possibly_damaging(0.853)	possibly_damaging(0.853)	1
possibly_damaging(0.707)	possibly_damaging(0.707)	1
possibly_damaging(0.749)	possibly_damaging(0.749)	1
possibly_damaging(0.805)	possibly_damaging(0.805)	1
benign(0.039)	benign(0.039)	1
benign(0.35)	benign(0.35)	1
possibly_damaging(0.903)	possibly_damaging(0.903)	1
benign(0.152)	benign(0.152)	1
possibly_damaging(0.802)	possibly_damaging(0.802)	1
benign(0.113)	benign(0.113)	1
possibly_damaging(0.583)	possibly_damaging(0.583)	1
benign(0.304)	benign(0.304)	1
possibly_damaging(0.785)	possibly_damaging(0.785)	1
benign(0.345)	benign(0.345)	1
benign(0.402)	benign(0.402)	1
possibly_damaging(0.511)	possibly_damaging(0.511)	1
benign(0.043)	benign(0.043)	1
benign(0.346)	benign(0.346)	1
possibly_damaging(0.79)	possibly_damaging(0.79)	1
possibly_damaging(0.789)	possibly_damaging(0.789)	1
possibly_damaging(0.526)	possibly_damaging(0.526)	1
possibly_damaging(0.779)	possibly_damaging(0.779)	1
possibly_damaging(0.879)	possibly_damaging(0.879)	1
possibly_damaging(0.599)	possibly_damaging(0.599)	1
possibly_damaging(0.634)	possibly_damaging(0.634)	1
possibly_damaging(0.513)	possibly_damaging(0.513)	1
benign(0.16)	benign(0.16)	1
possibly_damaging(0.608)	possibly_damaging(0.608)	1
benign(0.254)	benign(0.254)	1
possibly_damaging(0.483)	possibly_damaging(0.483)	1
benign(0.421)	benign(0.421)	1
probably_damaging(0.954)	probably_damaging(0.954)	1
benign(0.163)	benign(0.163)	1
benign(0.073)	benign(0.073)	1
possibly_damaging(0.632)	possibly_damaging(0.632)	1
possibly_damaging(0.76)	possibly_damaging(0.76)	1
possibly_damaging(0.866)	possibly_damaging(0.866)	1
possibly_damaging(0.681)	possibly_damaging(0.681)	1
benign(0.257)	benign(0.257)	1
benign(0.419)	benign(0.419)	1
possibly_damaging(0.744)	possibly_damaging(0.744)	1
possibly_damaging(0.694)	possibly_damaging(0.694)	1
probably_damaging(0.957)	probably_damaging(0.957)	1
benign(0.211)	benign(0.211)	1
benign(0.194)	benign(0.194)	1
benign(0.197)	benign(0.197)	1
possibly_damaging(0.84)	possibly_damaging(0.84)	1
possibly_damaging(0.769)	possibly_damaging(0.769)	1
benign(0.056)	benign(0.056)	1
benign(0.284)	benign(0.284)	1
possibly_damaging(0.842)	possibly_damaging(0.842)	1
benign(0.282)	benign(0.282)	1
benign(0.336)	benign(0.336)	1
possibly_damaging(0.777)	possibly_damaging(0.777)	1
possibly_damaging(0.88)	possibly_damaging(0.88)	1
possibly_damaging(0.646)	possibly_damaging(0.646)	1
benign(0.356)	benign(0.356)	1
probably_damaging(0.917)	probably_damaging(0.917)	1
possibly_damaging(0.57)	possibly_damaging(0.57)	1
benign(0.275)	benign(0.275)	1
benign(0.292)	benign(0.292)	1
probably_damaging(0.986)	probably_damaging(0.986)	1
benign(0.283)	benign(0.283)	1
possibly_damaging(0.892)	possibly_damaging(0.892)	1
benign(0.077)	benign(0.077)	1
probably_damaging(0.925)	probably_damaging(0.925)	1
benign(0.44)	benign(0.44)	1
possibly_damaging(0.887)	possibly_damaging(0.887)	1
benign(0.201)	benign(0.201)	1
possibly_damaging(0.676)	possibly_damaging(0.676)	1
possibly_damaging(0.559)	possibly_damaging(0.559)	1
benign(0.268)	benign(0.268)	1
benign(0.237)	benign(0.237)	1
possibly_damaging(0.453)	possibly_damaging(0.453)	1
possibly_damaging(0.872)	possibly_damaging(0.872)	1
possibly_damaging(0.505)	possibly_damaging(0.505)	1
benign(0.365)	benign(0.365)	1
benign(0.14)	benign(0.14)	1
benign(0.17)	benign(0.17)	1
possibly_damaging(0.576)	possibly_damaging(0.576)	1
benign(0.217)	benign(0.217)	1
benign(0.244)	benign(0.244)	1
possibly_damaging(0.83)	possibly_damaging(0.83)	1
benign(0.21)	benign(0.21)	1
possibly_damaging(0.66)	possibly_damaging(0.66)	1
benign(0.157)	benign(0.157)	1
benign(0.256)	benign(0.256)	1
possibly_damaging(0.539)	possibly_damaging(0.539)	1
benign(0.082)	benign(0.082)	1
benign(0.168)	benign(0.168)	1
possibly_damaging(0.724)	possibly_damaging(0.724)	1
possibly_damaging(0.795)	possibly_damaging(0.795)	1
benign(0.223)	benign(0.223)	1
possibly_damaging(0.566)	possibly_damaging(0.566)	1
benign(0.312)	benign(0.312)	1
benign(0.105)	benign(0.105)	1
possibly_damaging(0.496)	possibly_damaging(0.496)	1
benign(0.308)	benign(0.308)	1
possibly_damaging(0.832)	possibly_damaging(0.832)	1
probably_damaging(0.937)	probably_damaging(0.937)	1
benign(0.303)	benign(0.303)	1
benign(0.064)	benign(0.064)	1
possibly_damaging(0.529)	possibly_damaging(0.529)	1
possibly_damaging(0.847)	possibly_damaging(0.847)	1
benign(0.251)	benign(0.251)	1
benign(0.132)	benign(0.132)	1
possibly_damaging(0.762)	possibly_damaging(0.762)	1
possibly_damaging(0.869)	possibly_damaging(0.869)	1
benign(0.06)	benign(0.06)	1
possibly_damaging(0.616)	possibly_damaging(0.616)	1
benign(0.148)	benign(0.148)	1
possibly_damaging(0.55)	possibly_damaging(0.55)	1
benign(0.243)	benign(0.243)	1
benign(0.252)	benign(0.252)	1
benign(0.218)	benign(0.218)	1
possibly_damaging(0.764)	possibly_damaging(0.764)	1
possibly_damaging(0.478)	possibly_damaging(0.478)	1
possibly_damaging(0.48)	possibly_damaging(0.48)	1
possibly_damaging(0.766)	possibly_damaging(0.766)	1
benign(0.055)	benign(0.055)	1
possibly_damaging(0.474)	possibly_damaging(0.474)	1
benign(0.41)	benign(0.41)	1
possibly_damaging(0.51)	possibly_damaging(0.51)	1
possibly_damaging(0.8)	possibly_damaging(0.8)	1
possibly_damaging(0.87)	possibly_damaging(0.87)	1
possibly_damaging(0.575)	possibly_damaging(0.575)	1
benign(0.258)	benign(0.258)	1
benign(0.34)	benign(0.34)	1
probably_damaging(0.933)	probably_damaging(0.933)	1
possibly_damaging(0.794)	possibly_damaging(0.794)	1
probably_damaging(0.94)	probably_damaging(0.94)	1
possibly_damaging(0.54)	possibly_damaging(0.54)	1
possibly_damaging(0.674)	possibly_damaging(0.674)	1
possibly_damaging(0.65)	possibly_damaging(0.65)	1
possibly_damaging(0.594)	possibly_damaging(0.594)	1
benign(0.348)	benign(0.348)	1
benign(0.078)	benign(0.078)	1
benign(0.167)	benign(0.167)	1
possibly_damaging(0.543)	possibly_damaging(0.543)	1
possibly_damaging(0.75)	possibly_damaging(0.75)	1
benign(0.115)	benign(0.115)	1
probably_damaging(0.924)	probably_damaging(0.924)	1
benign(0.376)	benign(0.376)	1
benign(0.04)	benign(0.04)	1
benign(0.364)	benign(0.364)	1
possibly_damaging(0.612)	possibly_damaging(0.612)	1
probably_damaging(0.955)	probably_damaging(0.955)	1
possibly_damaging(0.64)	possibly_damaging(0.64)	1
possibly_damaging(0.729)	possibly_damaging(0.729)	1
benign(0.015)	benign(0.015)	1
possibly_damaging(0.475)	possibly_damaging(0.475)	1
benign(0.32)	benign(0.32)	1
possibly_damaging(0.813)	possibly_damaging(0.813)	1
possibly_damaging(0.71)	possibly_damaging(0.71)	1
possibly_damaging(0.799)	possibly_damaging(0.799)	1
benign(0.086)	benign(0.086)	1
probably_damaging(0.947)	probably_damaging(0.947)	1
benign(0.358)	benign(0.358)	1
benign(0.341)	benign(0.341)	1
possibly_damaging(0.677)	possibly_damaging(0.677)	1
benign(0.126)	benign(0.126)	1
possibly_damaging(0.491)	possibly_damaging(0.491)	1
benign(0.063)	benign(0.063)	1
probably_damaging(0.92)	probably_damaging(0.92)	1
benign(0.202)	benign(0.202)	1
possibly_damaging(0.737)	possibly_damaging(0.737)	1
possibly_damaging(0.824)	possibly_damaging(0.824)	1
benign(0.142)	benign(0.142)	1
benign(0.123)	benign(0.123)	1
possibly_damaging(0.806)	possibly_damaging(0.806)	1
benign(0.285)	benign(0.285)	1
benign(0.321)	benign(0.321)	1
benign(0.186)	benign(0.186)	1
benign(0.131)	benign(0.131)	1
benign(0.13)	benign(0.13)	1
possibly_damaging(0.753)	possibly_damaging(0.753)	1
possibly_damaging(0.686)	possibly_damaging(0.686)	1
probably_damaging(0.939)	probably_damaging(0.939)	1
benign(0.384)	benign(0.384)	1
benign(0.248)	benign(0.248)	1
benign(0.437)	benign(0.437)	1
probably_damaging(0.943)	probably_damaging(0.943)	1
benign(0.377)	benign(0.377)	1
possibly_damaging(0.601)	possibly_damaging(0.601)	1
benign(0.279)	benign(0.279)	1
possibly_damaging(0.625)	possibly_damaging(0.625)	1
possibly_damaging(0.838)	possibly_damaging(0.838)	1
benign(0.234)	benign(0.234)	1
possibly_damaging(0.754)	possibly_damaging(0.754)	1
possibly_damaging(0.672)	possibly_damaging(0.672)	1
possibly_damaging(0.871)	possibly_damaging(0.871)	1
benign(0.053)	benign(0.053)	1
benign(0.411)	benign(0.411)	1
benign(0.339)	benign(0.339)	1
possibly_damaging(0.72)	possibly_damaging(0.72)	1
benign(0.328)	benign(0.328)	1
possibly_damaging(0.463)	possibly_damaging(0.463)	1
possibly_damaging(0.457)	possibly_damaging(0.457)	1
benign(0.071)	benign(0.071)	1
