Gene1	Gene2	Cancer_Types	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Median_OE_Ratio	Max_OE_Ratio
CRY1	PER3	1	0	1	0	0.8099190080991902	1.690938682336032	1.690938682336032
CRY2	PER1	1	0	1	0	0.8099190080991902	2.1524663677130045	2.1524663677130045
PER2	RORB	1	0	0	1	0.8099190080991902	0.23344850126062192	0.23344850126062192
PER3	CLOCK	1	0	1	0	0.8099190080991902	1.5041500868304822	1.5041500868304822
CRY1	CLOCK	1	0	1	0	0.9863013698630138	1.9947471657967355	1.9947471657967355
TIMELESS	CRY1	1	0	1	0	0.993900609939006	2.3416461772626156	2.3416461772626156
ARNTL	CLOCK	1	0	1	0	1.0	1.2815036309269543	1.2815036309269543
ARNTL	CSNK1D	1	0	0	1	1.0	0.8581481163648845	0.8581481163648845
ARNTL	CSNK1E	1	0	1	0	1.0	2.5523226135783563	2.5523226135783563
ARNTL	NR1D1	1	0	0	1	1.0	0.0	0.0
ARNTL	NR1D2	1	0	1	0	1.0	1.1860989206499823	1.1860989206499823
ARNTL	PER1	1	0	0	1	1.0	0.46580957704490406	0.46580957704490406
ARNTL	PER2	1	0	0	1	1.0	0.33342224593224856	0.33342224593224856
ARNTL	PER3	1	0	0	1	1.0	0.8217827206486605	0.8217827206486605
ARNTL	RORA	1	0	0	1	1.0	0.6710058377507885	0.6710058377507885
ARNTL	RORB	1	0	1	0	1.0	1.1976047904191618	1.1976047904191618
ARNTL	RORC	1	0	1	0	1.0	1.4777597162701346	1.4777597162701346
CLOCK	NR1D1	1	0	1	0	1.0	1.212268153715602	1.212268153715602
CLOCK	NR1D2	1	0	1	0	1.0	1.8014772113132769	1.8014772113132769
CRY1	ARNTL	1	0	0	1	1.0	0.0	0.0
CRY1	CRY2	1	0	0	1	1.0	0.5170898185014737	0.5170898185014737
CRY1	CSNK1D	1	0	0	1	1.0	0.6572893387669252	0.6572893387669252
CRY1	CSNK1E	1	0	1	0	1.0	1.3326226012793179	1.3326226012793179
CRY1	NR1D1	1	0	1	0	1.0	1.8688095683049897	1.8688095683049897
CRY1	NR1D2	1	0	0	1	1.0	0.9353661958656815	0.9353661958656815
CRY1	PER1	1	0	1	0	1.0	1.081938834391229	1.081938834391229
CRY1	PER2	1	0	1	0	1.0	1.549426712116517	1.549426712116517
CRY1	RORA	1	0	0	1	1.0	0.5172235440157236	0.5172235440157236
CRY1	RORB	1	0	0	1	1.0	0.4679457182966776	0.4679457182966776
CRY1	RORC	1	0	0	1	1.0	0.5899705014749262	0.5899705014749262
CRY2	ARNTL	1	0	0	1	1.0	0.6639665360865813	0.6639665360865813
CRY2	CLOCK	1	0	1	0	1.0	1.3392707670673318	1.3392707670673318
CRY2	CSNK1D	1	0	1	0	1.0	1.3128528291978467	1.3128528291978467
