Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	CRY1	PER1	9	13	3	2.7857142857142856	2.7728	1.2447228982827268	1.081938834391229	0.18253058597496258	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY1	PER2	9	18	6	3.857142857142857	3.8724	1.3515549970648657	1.549426712116517	1.5741867734723705	0.1426857314268573	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY1	PER3	9	22	8	4.714285714285714	4.7311	1.3458729239392326	1.690938682336032	2.4288325753907465	0.024297570242975703	0.8099190080991902	Enriched
uterine corpus endometrioid carcinoma	42	CRY1	RORA	9	9	1	1.9285714285714286	1.9334	1.1102647021187682	0.5172235440157236	-0.8407004187548706	0.6618338166183382	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY1	RORB	9	10	1	2.142857142857143	2.137	1.1497665834070985	0.4679457182966776	-0.988896369409809	0.42485751424857515	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY1	RORC	9	8	1	1.7142857142857142	1.695	1.0580581027027152	0.5899705014749262	-0.6568637376573975	0.6686331366863314	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY1	CLOCK	9	14	6	3.0	3.0079	1.2725562973609439	1.9947471657967355	2.3512515762210953	0.0410958904109589	0.9863013698630138	Enriched
uterine corpus endometrioid carcinoma	42	CRY1	NR1D1	9	5	2	1.0714285714285714	1.0702	0.8739269619559081	1.8688095683049897	1.063933303898811	0.5624437556244376	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY1	NR1D2	9	5	1	1.0714285714285714	1.0691	0.8738429779743129	0.9353661958656815	-0.0790759916160031	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY2	ARNTL	9	7	1	1.5	1.5061	1.0072061538849146	0.6639665360865813	-0.502479058579926	0.6872312768723128	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY2	CSNK1D	9	7	2	1.5	1.5234	1.0102249726915016	1.3128528291978467	0.47177610223811217	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	CSNK1E	9	7	2	1.5	1.5011	1.0145450804040288	1.3323562720671507	0.49174749317331445	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	PER1	9	13	6	2.7857142857142856	2.7875	1.2337325316274836	2.1524663677130045	2.6038869184735014	0.0160983901609839	0.8099190080991902	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	PER2	9	18	3	3.857142857142857	3.8503	1.3340419321699295	0.7791600654494455	-0.6373862616274112	0.7193280671932807	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY2	PER3	9	22	7	4.714285714285714	4.7248	1.357368485312847	1.481544192346766	1.676184488308354	0.1406859314068593	1.0	Enriched
