Endpoint	N	Cases	Controls	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	Firth_LR_Statistic	Firth_LR_P	Direction	Full_Model_Success	Reduced_Model_Success	FDR
Nonsynonymous	10593	854	9739	3.4245928846400924	3.12273281217029	3.755632367847935	1212.0457837218828	1.4703649021640377e-265	Positive	False	False	4.411094706492113e-265
Damaging	10593	563	10030	3.4634095593309553	3.1250053914419516	3.8384592258671812	953.1947780756846	2.680887900221024e-209	Positive	False	False	4.0213318503315356e-209
Strong_Damaging	10593	402	10191	3.2034762358766318	2.876500904595853	3.567619247895962	722.2162543626769	4.4130633175335626e-159	Positive	False	False	4.4130633175335626e-159
