Gene1	Gene2	Gene1_Mutant	Gene2_Mutant	Observed_CoMutation	Expected_CoMutation	Odds_Ratio	P_value	FDR	Direction	Observed_Expected_Ratio
PER1	RORC	44	36	17	2.895795246800731	16.03898635477583	2.966213841564921e-11	9.126811820199756e-11	Co-mutated	5.870580808080809
NR1D2	PER1	20	44	13	1.6087751371115173	29.714285714285715	4.992835349089484e-11	1.4978506047268453e-10	Co-mutated	8.080681818181818
CLOCK	PER2	39	54	19	3.850091407678245	12.838571428571429	5.3564048136618447e-11	1.5677282381449303e-10	Co-mutated	4.934947768281102
CLOCK	CRY1	39	27	14	1.9250457038391224	21.323076923076922	8.074304786252943e-11	2.3069442246436983e-10	Co-mutated	7.272554605887939
PER2	RORB	54	32	17	3.1590493601462524	14.641441441441442	1.2333244902462792e-10	3.4418357867338026e-10	Co-mutated	5.3813657407407405
CRY2	RORB	28	32	13	1.6380255941499087	22.80701754385965	1.4310968942468102e-10	3.9029915297640277e-10	Co-mutated	7.936383928571428
CRY2	TIMELESS	28	39	14	1.9963436928702012	19.76	1.5427236047031568e-10	4.1139296125417514e-10	Co-mutated	7.012820512820513
ARNTL	RORB	36	32	14	2.106032906764168	17.42929292929293	4.1962127724632676e-10	1.0946642015121568e-09	Co-mutated	6.647569444444445
RORA	TIMELESS	35	39	15	2.495429616087751	15.25	4.587222007027244e-10	1.1712056188154665e-09	Co-mutated	6.010989010989012
ARNTL	CRY1	36	27	13	1.776965265082267	20.065217391304348	4.766446727728595e-10	1.1916116819321488e-09	Co-mutated	7.315843621399177
ARNTL	CRY2	36	28	13	1.8427787934186473	18.689855072463768	8.533796168072641e-10	2.061549016551546e-09	Co-mutated	7.054563492063492
CSNK1E	PER2	27	54	15	2.6654478976234004	15.416666666666666	8.589787568964776e-10	2.061549016551546e-09	Co-mutated	5.627572016460905
NR1D2	PER3	20	43	12	1.5722120658135283	24.0	9.362062607169769e-10	2.202838260510534e-09	Co-mutated	7.632558139534884
CSNK1D	RORB	26	32	12	1.5210237659963437	21.47142857142857	1.0003775928044264e-09	2.3085636757025225e-09	Co-mutated	7.889423076923077
NR1D1	PER1	24	44	13	1.9305301645338209	18.75659824046921	1.2844456363559134e-09	2.9081787992964074e-09	Co-mutated	6.733901515151515
NPAS2	NR1D2	45	20	12	1.6453382084095065	22.454545454545453	1.7046514938958529e-09	3.788114430879674e-09	Co-mutated	7.293333333333333
CSNK1D	CSNK1E	26	27	11	1.283363802559415	23.145833333333332	2.2269089272792447e-09	4.85871038679108e-09	Co-mutated	8.571225071225072
CRY2	CSNK1D	28	26	11	1.3308957952468008	21.741176470588236	3.5714048348341697e-09	7.653010360358935e-09	Co-mutated	8.26510989010989
CSNK1D	PER1	26	44	13	2.0914076782449724	15.806451612903226	4.78127604359234e-09	1.0065844302299662e-08	Co-mutated	6.215909090909092
CRY1	RORA	27	35	12	1.7276051188299817	17.286956521739132	5.918371642158695e-09	1.2244906845845577e-08	Co-mutated	6.946031746031746
NR1D2	TIMELESS	20	39	11	1.4259597806215722	21.78174603174603	6.0794929417679856e-09	1.2365070390036581e-08	Co-mutated	7.714102564102564
RORB	RORC	32	36	13	2.106032906764168	14.636155606407323	6.696010674355971e-09	1.3392021348711942e-08	Co-mutated	6.172743055555556
CLOCK	RORC	39	36	14	2.56672760511883	12.370909090909091	1.0101912561829595e-08	1.9872614875730352e-08	Co-mutated	5.454415954415954
CLOCK	CSNK1D	39	26	12	1.853747714808044	15.682539682539682	1.4506205721615052e-08	2.8076527203125908e-08	Co-mutated	6.4733727810650885
NR1D1	PER3	24	43	12	1.886654478976234	15.870967741935484	1.6082061744513275e-08	3.063249856097767e-08	Co-mutated	6.3604651162790695
RORB	TIMELESS	32	39	13	2.2815356489945153	12.868421052631579	2.119549533631941e-08	3.974155375559889e-08	Co-mutated	5.697916666666667
CRY1	TIMELESS	27	39	12	1.9250457038391224	14.607407407407408	2.4870106858892485e-08	4.5914043431801515e-08	Co-mutated	6.233618233618234
CSNK1D	NR1D2	26	20	9	0.9506398537477148	24.545454545454547	3.3713047401372e-08	6.129644982067636e-08	Co-mutated	9.467307692307692
CLOCK	TIMELESS	39	39	14	2.7806215722120657	10.8192	3.492013455662515e-08	6.254352457903012e-08	Co-mutated	5.034845496383958
RORA	RORB	35	32	12	2.047531992687386	12.834782608695653	6.245126981867998e-08	1.1020812320943526e-07	Co-mutated	5.860714285714286
NR1D1	TIMELESS	24	39	11	1.7111517367458866	14.958791208791208	7.403456892163456e-08	1.2875577203762532e-07	Co-mutated	6.428418803418803
CLOCK	RORA	39	35	13	2.495429616087751	11.045454545454545	7.806830101173564e-08	1.338313731629754e-07	Co-mutated	5.20952380952381
NPAS2	RORC	45	36	14	2.9616087751371114	9.853372434017595	8.734029238738291e-08	1.4566313563602652e-07	Co-mutated	4.727160493827161
CSNK1E	PER3	27	43	12	2.1224862888482634	12.619354838709677	8.739788138161592e-08	1.4566313563602652e-07	Co-mutated	5.6537467700258395
CRY2	CSNK1E	28	27	10	1.3820840950639854	16.405228758169933	1.0686594234669453e-07	1.7567004221374443e-07	Co-mutated	7.235449735449735
RORC	TIMELESS	36	39	13	2.56672760511883	10.543478260869565	1.1648408578776951e-07	1.8458547018731024e-07	Co-mutated	5.064814814814815
ARNTL	TIMELESS	36	39	13	2.56672760511883	10.543478260869565	1.1648408578776951e-07	1.8458547018731024e-07	Co-mutated	5.064814814814815
CSNK1E	PER1	27	44	12	2.1718464351005484	12.2	1.1690413111862982e-07	1.8458547018731024e-07	Co-mutated	5.525252525252525
CRY2	RORA	28	35	11	1.7915904936014626	13.345588235294118	1.4672367255499114e-07	2.2866026891686928e-07	Co-mutated	6.139795918367347
CRY2	RORC	28	36	11	1.8427787934186473	12.785882352941176	2.0491149270505798e-07	3.1524845031547383e-07	Co-mutated	5.969246031746032
CSNK1D	NR1D1	26	24	9	1.1407678244972577	17.858823529411765	2.3335951100466204e-07	3.5447014329822083e-07	Co-mutated	7.8894230769230775
ARNTL	RORA	36	35	12	2.303473491773309	10.608695652173912	2.9285338296553293e-07	4.392800744482994e-07	Co-mutated	5.20952380952381
NR1D1	RORA	24	35	10	1.5356489945155394	14.228571428571428	3.2130963015358633e-07	4.7601426689420204e-07	Co-mutated	6.511904761904762
NPAS2	NR1D1	45	24	11	1.9744058500914077	12.169683257918551	3.891512484746803e-07	5.694896319141663e-07	Co-mutated	5.571296296296296
