Endpoint	N	Cases	Controls	OR_per_log1p_non_CLOCK16_mutation	CI95_Low	CI95_High	Firth_LR_Statistic	Firth_LR_P	Direction	Reduced_LogLik	Full_LogLik	Iterations_Reduced	Iterations_Full	FDR
Nonsynonymous	10593	854	9739	3.424595297320338	3.1227348550949365	3.755635202679425	1212.054519076335	1.463951560499739e-265	Positive	-2644.912358444387	-2038.8850989062194	9	11	4.391854681499217e-265
Damaging	10593	0	10593	0.751074738756481	0.5560986991075629	1.0144121252277971	0.0	1.0	Negative	-15.924822697469367	-16.40580313078394	11	482	1.0
Strong_Damaging	10593	0	10593	0.751074738756481	0.5560986991075629	1.0144121252277971	0.0	1.0	Negative	-15.924822697469367	-16.40580313078394	11	482	1.0
