Gene A,Gene B,Both Mutated n,Gene A Only n,Gene B Only n,Neither Mutated n,Odds Ratio,Log2 Odds Ratio,Unadjusted Fisher P,Unadjusted Fisher FDR,Unadjusted Significance,Permutation Observed/Expected Ratio,Permutation TMB-Adjusted FDR,Permutation TMB-Adjusted Significance
ARNTL,PER2,23,82,154,1035,1.885,0.915,0.0167317213194176,0.0573659016665747,Nominally Significant (P < 0.05),0.3334222459322485,1.0,Not Significant (FDR >= 0.05)
CRY2,CSNK1E,13,85,76,1120,2.254,1.172,0.0193937193102553,0.0646457310341844,Nominally Significant (P < 0.05),1.332356272067151,1.0,Not Significant (FDR >= 0.05)
PER2,RORC,27,150,103,1014,1.772,0.825,0.021175204958691,0.0686763404065654,Nominally Significant (P < 0.05),1.1665208515602217,1.0,Not Significant (FDR >= 0.05)
NR1D2,RORB,19,81,132,1062,1.887,0.916,0.0228451141121332,0.072142465617263,Nominally Significant (P < 0.05),0.830702774547267,1.0,Not Significant (FDR >= 0.05)
CRY2,CSNK1D,11,87,64,1132,2.236,1.161,0.0239929309808118,0.0738244030178825,Nominally Significant (P < 0.05),1.3128528291978467,1.0,Not Significant (FDR >= 0.05)
ARNTL,CSNK1E,13,92,76,1113,2.069,1.049,0.026710030798612,0.0801300923958362,Nominally Significant (P < 0.05),2.5523226135783563,1.0,Not Significant (FDR >= 0.05)
CRY1,NR1D2,14,86,86,1108,2.097,1.069,0.0290692377534533,0.0850806958637659,Nominally Significant (P < 0.05),0.9353661958656816,1.0,Not Significant (FDR >= 0.05)
ARNTL,CRY2,14,91,84,1105,2.024,1.017,0.03160070795986,0.0901637502726133,Nominally Significant (P < 0.05),0.6639665360865813,1.0,Not Significant (FDR >= 0.05)
CSNK1D,CSNK1E,10,65,79,1140,2.22,1.151,0.0323086771810197,0.0901637502726133,Nominally Significant (P < 0.05),1.7024174327545114,1.0,Not Significant (FDR >= 0.05)
CLOCK,PER2,30,126,147,991,1.605,0.683,0.0350133910189028,0.0954910664151896,Nominally Significant (P < 0.05),0.8338336335134413,1.0,Not Significant (FDR >= 0.05)
CSNK1D,PER1,17,58,167,1052,1.846,0.885,0.0397816771903569,0.1060844725076186,Nominally Significant (P < 0.05),0.9262689885142646,1.0,Not Significant (FDR >= 0.05)
CRY2,NR1D2,13,85,87,1109,1.95,0.963,0.046179636750885,0.1204686176110044,Nominally Significant (P < 0.05),0.9384384384384384,1.0,Not Significant (FDR >= 0.05)
PER1,PER2,34,150,143,967,1.533,0.616,0.0484577591212298,0.1237219381818634,Nominally Significant (P < 0.05),1.0755965078966712,1.0,Not Significant (FDR >= 0.05)
CRY1,RORB,18,82,133,1061,1.751,0.808,0.0503584837108112,0.1258962092770282,Not Significant,0.4679457182966776,1.0,Not Significant (FDR >= 0.05)
CLOCK,NPAS2,28,128,139,999,1.572,0.653,0.055277121952554,0.1353725435572753,Not Significant,1.133058881293198,1.0,Not Significant (FDR >= 0.05)
CRY1,NR1D1,11,89,72,1122,1.926,0.946,0.0571246959112406,0.1370992701869776,Not Significant,1.8688095683049897,1.0,Not Significant (FDR >= 0.05)
CRY1,CSNK1E,12,88,77,1117,1.978,0.984,0.0598954686809403,0.1383862447503476,Not Significant,1.332622601279318,1.0,Not Significant (FDR >= 0.05)
NPAS2,TIMELESS,37,130,182,945,1.478,0.563,0.0599673727251506,0.1383862447503476,Not Significant,1.308429557423702,1.0,Not Significant (FDR >= 0.05)
CLOCK,PER3,31,125,161,977,1.505,0.59,0.0708504952803036,0.1604162157289894,Not Significant,1.5041500868304822,0.8099190080991902,Not Significant (FDR >= 0.05)
NR1D2,RORA,15,85,114,1080,1.672,0.741,0.083555230424624,0.1825034731560954,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
CLOCK,RORA,22,134,107,1031,1.582,0.662,0.0855686913768373,0.1825034731560954,Not Significant,0.6629321488945606,1.0,Not Significant (FDR >= 0.05)
PER1,RORC,25,159,105,1005,1.505,0.59,0.0863989034409669,0.1825034731560954,Not Significant,0.8105041335710812,1.0,Not Significant (FDR >= 0.05)
CSNK1E,PER3,19,70,173,1032,1.619,0.695,0.0877150097014077,0.1825034731560954,Not Significant,1.3613591810063166,1.0,Not Significant (FDR >= 0.05)
NR1D1,RORC,13,70,117,1094,1.737,0.796,0.0882100120254461,0.1825034731560954,Not Significant,1.0595465140919686,1.0,Not Significant (FDR >= 0.05)
NPAS2,RORB,26,141,125,1002,1.478,0.564,0.0943019877705014,0.1918006530925453,Not Significant,1.3101008777675882,1.0,Not Significant (FDR >= 0.05)
CSNK1E,NR1D2,11,78,89,1116,1.768,0.822,0.0985887856512232,0.1971775713024465,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
CSNK1D,RORC,12,63,118,1101,1.777,0.83,0.1091284625150077,0.2146789426524742,Not Significant,0.7472724555372888,1.0,Not Significant (FDR >= 0.05)
NPAS2,NR1D2,18,149,82,1045,1.54,0.622,0.1204271216760866,0.2330847516311354,Not Significant,1.040474456352097,1.0,Not Significant (FDR >= 0.05)
