Gene_A,Gene_B,Both_Mutated_n,Gene_A_Only_n,Gene_B_Only_n,Neither_Mutated_n,Odds_Ratio,Log2_Odds_Ratio,P_Value_Fisher,Tendency,FDR_q_Value,Statistical_Significance
CRY2,NR1D2,13,85,87,1109,1.95,0.963,0.046179636750885045,Co-occurrence,0.12046861761100447,Nominally Significant (P < 0.05)
PER1,PER2,34,150,143,967,1.533,0.616,0.04845775912122985,Co-occurrence,0.12372193818186344,Nominally Significant (P < 0.05)
CRY1,RORB,18,82,133,1061,1.751,0.808,0.050358483710811294,Co-occurrence,0.12589620927702824,Not Significant
CLOCK,NPAS2,28,128,139,999,1.572,0.653,0.05527712195255408,Co-occurrence,0.13537254355727532,Not Significant
CRY1,NR1D1,11,89,72,1122,1.926,0.946,0.05712469591124068,Co-occurrence,0.13709927018697762,Not Significant
CRY1,CSNK1E,12,88,77,1117,1.978,0.984,0.05989546868094038,Co-occurrence,0.1383862447503476,Not Significant
NPAS2,TIMELESS,37,130,182,945,1.478,0.563,0.05996737272515064,Co-occurrence,0.1383862447503476,Not Significant
CLOCK,PER3,31,125,161,977,1.505,0.59,0.07085049528030367,Co-occurrence,0.16041621572898943,Not Significant
NR1D2,RORA,15,85,114,1080,1.672,0.741,0.08355523042462405,Co-occurrence,0.18250347315609544,Not Significant
CLOCK,RORA,22,134,107,1031,1.582,0.662,0.08556869137683738,Co-occurrence,0.18250347315609544,Not Significant
PER1,RORC,25,159,105,1005,1.505,0.59,0.0863989034409669,Co-occurrence,0.18250347315609544,Not Significant
CSNK1E,PER3,19,70,173,1032,1.619,0.695,0.08771500970140772,Co-occurrence,0.18250347315609544,Not Significant
NR1D1,RORC,13,70,117,1094,1.737,0.796,0.08821001202544612,Co-occurrence,0.18250347315609544,Not Significant
NPAS2,RORB,26,141,125,1002,1.478,0.564,0.09430198777050147,Co-occurrence,0.19180065309254535,Not Significant
CSNK1E,NR1D2,11,78,89,1116,1.768,0.822,0.09858878565122328,Co-occurrence,0.19717757130244656,Not Significant
CSNK1D,RORC,12,63,118,1101,1.777,0.83,0.10912846251500771,Co-occurrence,0.2146789426524742,Not Significant
NPAS2,NR1D2,18,149,82,1045,1.54,0.622,0.12042712167608663,Co-occurrence,0.23308475163113543,Not Significant
CRY2,PER1,19,79,165,1031,1.503,0.588,0.1327890434709118,Co-occurrence,0.25293151137316533,Not Significant
CLOCK,RORB,24,132,127,1011,1.447,0.533,0.14232545564406768,Co-occurrence,0.2668602293326269,Not Significant
CLOCK,CRY1,17,139,83,1055,1.555,0.637,0.14783412653777503,Co-occurrence,0.27292454130050775,Not Significant
RORA,RORB,20,109,131,1034,1.448,0.534,0.15016173978710015,Co-occurrence,0.2730213450674548,Not Significant
CSNK1D,NPAS2,14,61,153,1066,1.599,0.677,0.15277866756914651,Co-occurrence,0.27363343445220273,Not Significant
NR1D2,RORC,14,86,116,1078,1.513,0.597,0.16750521415636335,Co-occurrence,0.29559743674652356,Not Significant
NPAS2,NR1D1,15,152,68,1059,1.537,0.62,0.17325618043112384,Co-occurrence,0.29764682152004335,Not Significant
ARNTL,TIMELESS,23,82,196,993,1.421,0.507,0.17362731255335861,Co-occurrence,0.29764682152004335,Not Significant
CRY1,PER1,19,81,165,1029,1.463,0.549,0.17808519501156317,Co-occurrence,0.3009890619913744,Not Significant
CSNK1D,PER3,15,60,177,1042,1.472,0.558,0.18432357339083352,Co-occurrence,0.3072059556513892,Not Significant
CSNK1E,PER1,17,72,167,1038,1.468,0.553,0.2062485633573579,Co-occurrence,0.332506712827448,Not Significant
PER2,RORB,26,151,125,992,1.366,0.45,0.20655814153890167,Co-occurrence,0.332506712827448,Not Significant
CRY2,NPAS2,17,81,150,1046,1.464,0.549,0.20781669551715498,Co-occurrence,0.332506712827448,Not Significant
CSNK1E,RORB,14,75,137,1068,1.455,0.541,0.22957988232361648,Co-occurrence,0.3602704239566293,Not Significant
PER1,RORA,23,161,106,1004,1.353,0.436,0.23117352203883712,Co-occurrence,0.3602704239566293,Not Significant
PER3,RORC,24,168,106,996,1.342,0.425,0.2408608452357054,Co-occurrence,0.37055514651646987,Not Significant
NR1D1,PER2,15,68,162,1049,1.428,0.514,0.2462701684771314,Co-occurrence,0.37408126857285784,Not Significant
RORC,TIMELESS,17,113,202,962,0.716,-0.481,0.26655070395768915,Mutual Exclusivity,0.39982605593653375,Not Significant
NR1D1,NR1D2,9,74,91,1120,1.497,0.582,0.2846250502911255,Co-occurrence,0.4216667411720378,Not Significant
CRY2,RORA,13,85,116,1080,1.424,0.51,0.2900001618358659,Co-occurrence,0.4243904807354135,Not Significant
NR1D2,PER1,18,82,166,1028,1.359,0.443,0.2952402353813254,Co-occurrence,0.4268533523585427,Not Significant
CRY1,CRY2,10,90,88,1106,1.396,0.482,0.3254960294857917,Co-occurrence,0.4649943278368453,Not Significant
CLOCK,PER1,26,130,158,980,1.241,0.311,0.33091099789835676,Co-occurrence,0.46716846762120956,Not Significant
NPAS2,PER1,28,139,156,971,1.254,0.326,0.341627478210468,Co-occurrence,0.4766895044797228,Not Significant
CSNK1E,NR1D1,3,86,80,1125,0.491,-1.028,0.3651340594746505,Mutual Exclusivity,0.5036331854822765,Not Significant
ARNTL,RORC,13,92,117,1072,1.295,0.373,0.3973489388353819,Co-occurrence,0.5418394620482481,Not Significant
CRY1,TIMELESS,20,80,199,995,1.25,0.322,0.4047568453789139,Co-occurrence,0.5457395668030299,Not Significant
CRY2,RORB,14,84,137,1059,1.288,0.365,0.4122642220469305,Co-occurrence,0.5496856293959073,Not Significant
CSNK1E,RORA,11,78,118,1087,1.299,0.378,0.46124542596198054,Co-occurrence,0.6078611877930044,Not Significant
PER3,TIMELESS,36,156,183,919,1.159,0.213,0.46602691064130336,Co-occurrence,0.6078611877930044,Not Significant
CLOCK,RORC,18,138,112,1026,1.195,0.257,0.47981303427448185,Co-occurrence,0.6191135926122346,Not Significant
NR1D1,PER1,14,69,170,1041,1.242,0.313,0.5146257526494943,Co-occurrence,0.6569690459355246,Not Significant
PER1,RORB,24,160,127,983,1.161,0.215,0.5355591131204525,Co-occurrence,0.676495721836361,Not Significant
CLOCK,TIMELESS,29,127,190,948,1.139,0.188,0.5692386282898207,Co-occurrence,0.7095815788161954,Not Significant
NR1D2,TIMELESS,19,81,200,994,1.166,0.221,0.5785831627347702,Co-occurrence,0.7095815788161954,Not Significant
